Logger description: 
Log period: 0.1 s
Statistics period: 0.01 s
Statistics window: 0.1 s
Maximum duration: 
Time,Time,Time,GearOilInTemp,GearOilOutTemp,RoomTemp,TOilLEWAct,TOilLEWDem,Dyno2,Dyno1Power,Dyno1Speed,Dyno1Torque,Dyno2Power,Dyno2Speed,Dyno2Torque,Efficiency,Efficiency10kNm,GearOilInTemp_Avg,GearOilOutTemp_Avg,RoomTemp_Avg,TOilLEWAct_Avg,TOilLEWDem_Avg,Dyno2_Avg,Dyno1Power_Avg,Dyno1Speed_Avg,Dyno1Torque_Avg,Dyno2Power_Avg,Dyno2Speed_Avg,Dyno2Torque_Avg,Efficiency_Avg,Efficiency10kNm_Avg
Date,Time,ms,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
4/22/2015,9:06:25,276.3,72.022382094324485,,,89.321425854266295,90,-1959.3294315536186,304154.69928646,1450.5552499745431,2002.3114813552377,-303790.6465344649,1449.9562953552056,-2000.7409829907297,0.99707353551842137,0.98926962854809819,72.036770583533098,,,89.321425854266295,90.000000000000057,-1983.6742455680192,304366.04012845212,1449.8860594347323,2004.6282074244889,-304014.01295741432,1449.9403341033255,-2002.2340760066822,0.99707353551841948,0.98926962854809586
4/22/2015,9:06:25,376.5,71.958433253397232,,,89.321425854266295,90,-1973.9897690890944,304188.03055047925,1449.9982850438689,2003.300108318371,-303802.3639462018,1449.8931429794823,-2000.905301711269,0.99741369205937414,0.98794217175921295,71.977617905675515,,,89.321425854266295,90.000000000000057,-1987.2136585923236,304169.77538295212,1449.9202864017432,2003.2886045786606,-303697.63945502718,1450.148695197161,-1999.8628810796831,0.99741369205937325,0.9879421717592104
4/22/2015,9:06:25,476.3,71.942446043165432,,,89.43129244357408,90,-1948.9299270618096,303678.27444039396,1449.636114187316,2000.4426495914665,-303033.83871268027,1449.436890616026,-1996.4718850809945,0.99776714420874435,0.98649059713320708,71.947242206234932,,,89.343399172127874,90.000000000000057,-1973.2106536943236,303382.98575783026,1450.1222160186107,1997.8280852197167,-302485.39783664193,1449.5719692550647,-1992.6730454416745,0.99776714420874235,0.98649059713320375
4/22/2015,9:06:25,576.4,71.894484412469978,,,89.467914640010008,90,-1927.8928571722345,303038.21371005574,1449.0474727283922,1997.0372495891465,-302163.63867187599,1450.0079680810513,-1989.9547220105055,0.997826086907177,0.98435767521616468,71.908872901678365,,,89.438616882861254,90.000000000000057,-1961.8159943824078,303882.69915012072,1449.7861276828028,2001.5827534828404,-302645.47126937122,1449.7826755168346,-1993.4373076038041,0.99782608690717467,0.98435767521616191
4/22/2015,9:06:25,677.0,71.846522781774524,,,89.358048050702223,90,-1988.9587993047012,304827.06742717279,1450.3084540149025,2007.0792982666783,-303606.25230042945,1449.7141575021765,-1999.8605472877541,0.99766565064162727,0.98632955355192287,71.86091127098274,,,89.445941322148428,90.000000000000057,-2005.5678822561974,303340.09875492804,1450.4028489146444,1997.1585343742686,-302222.20796896552,1449.9218473099199,-1990.4586784087173,0.99766565064162549,0.98632955355191909
4/22/2015,9:06:25,776.4,71.782573940847271,,,89.394670247138151,90,-2050.6705328950848,302818.11084672745,1450.0615049213959,1994.1912409412737,-301577.1284962612,1450.0403407303813,-1986.0478102063055,0.99745074219472185,0.98742502493149231,71.801758593125101,,,89.365372489989397,90.000000000000057,-1982.7283183623767,303872.94473041769,1450.3025754479168,2000.8067072763085,-303045.69487997366,1450.1037256491984,-1995.631540892015,0.99745074219472052,0.98742502493148854
4/22/2015,9:06:25,876.4,71.766586730615472,,,89.43129244357408,90,-2038.6657890148274,302372.5453371625,1450.5328412979072,1990.6099555509761,-300703.95566441648,1450.1569110817065,-1980.1383113326353,0.9973733104313075,0.99129931321032416,71.771382893684802,,,89.401994686425326,90.000000000000057,-1971.4189216089847,303345.16028113023,1449.8665928645773,1997.9334887347468,-302304.11568855029,1449.9145277259197,-1991.007957519319,0.99737331043130517,0.99129931321032194
4/22/2015,9:06:25,976.7,71.734612310151817,,,89.43129244357408,90,-2079.9389381290744,302642.87728356989,1451.4221959909744,1991.1688016461981,-300818.57130458718,1450.3857653676187,-1980.5804941073118,0.99721934926938016,0.9920173420756554,71.744204636290533,,,89.43129244357408,90.000000000000057,-1989.6393524249463,303930.71379005467,1450.0271965186948,2001.5694156249087,-302988.85509440501,1450.2544759140192,-1995.0491303549302,0.99721934926937905,0.99201734207565251
