Logger description: 
Log period: 0.1 s
Statistics period: 0.01 s
Statistics window: 0.1 s
Maximum duration: 
Time,Time,Time,GearOilInTemp,GearOilOutTemp,RoomTemp,TOilLEWAct,TOilLEWDem,Dyno2,Dyno1Power,Dyno1Speed,Dyno1Torque,Dyno2Power,Dyno2Speed,Dyno2Torque,Efficiency,Efficiency10kNm,GearOilInTemp_Avg,GearOilOutTemp_Avg,RoomTemp_Avg,TOilLEWAct_Avg,TOilLEWDem_Avg,Dyno2_Avg,Dyno1Power_Avg,Dyno1Speed_Avg,Dyno1Torque_Avg,Dyno2Power_Avg,Dyno2Speed_Avg,Dyno2Torque_Avg,Efficiency_Avg,Efficiency10kNm_Avg
Date,Time,ms,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
4/22/2015,9:50:57,352.2,60.367705835332174,,,89.834136604369291,90,-3182.7383476057421,304850.74438080634,1449.4423158432546,2008.4346514427018,-301954.97914230259,882.74124965672092,-3266.4811488346909,0.98737500558492186,0.98613234176855802,60.463629096720751,,,89.834136604369291,90.000000000000057,-3249.8159324833132,303149.97964974697,1450.283915287326,1996.0723919005523,-299345.99538236053,882.49863449283237,-3239.1463411042955,0.9873750055849243,0.98613234176855191
4/22/2015,9:50:57,452.2,60.207833733014013,,,90.053869782984862,90,-3319.5721700127879,304315.89410750027,1448.4399027163381,2006.2984477771718,-300980.30475491495,882.77611304326683,-3255.8087538126665,0.98755684919078046,0.98304354313983433,60.287769784170905,,,90.053869782984862,90.000000000000057,-3262.6613372592246,303701.740155646,1449.8598185293604,2000.2908416746566,-300105.14883431944,882.52987994919306,-3247.2464369447562,0.98755684919078279,0.98304354313982789
4/22/2015,9:50:57,552.2,60.031974420464053,,,90.053869782984862,90,-3330.785821706213,303063.49798035424,1450.395523447316,1995.3475997906055,-298797.39046016894,882.67142593174276,-3232.5787565511923,0.98753013213641794,0.98363654724010274,60.11990407673693,,,90.053869782984862,90.000000000000057,-3219.7075654257414,303443.70827981445,1449.6910002211739,1998.8252030434426,-299797.33085482119,882.52793526290168,-3243.9228630603161,0.98753013213642171,0.98363654724009675
4/22/2015,9:50:57,652.4,59.967923015237034,,,90.09049197942079,90,-3160.4322804835447,302457.01715400943,1449.9209085634127,1992.0064219469309,-298692.17875505425,882.74241688873133,-3231.1806345030573,0.98746730260471516,0.98584562559677302,59.999948717848383,,,90.09049197942079,90.000000000000057,-3224.9566231436265,303640.52814985014,1449.8300877510474,1999.9276282248768,-300160.13949044375,882.52332103542119,-3247.8666607533987,0.98746730260471816,0.9858456255967678
4/22/2015,9:50:57,752.3,59.807538091419872,,,90.053869782984862,90,-3298.9234153066482,302616.58263009699,1450.5353410514254,1992.2130936394503,-299070.73910329962,882.47622077226572,-3236.2517204678411,0.98774308212718398,0.98188480662663902,59.887730553326264,,,90.053869782984862,90.000000000000057,-3255.6357517245824,303062.6305981843,1449.8580271871651,1996.0821166937144,-299528.76603611303,882.55742440673134,-3240.9094641576171,0.98774308212718631,0.98188480662663236
4/22/2015,9:50:57,852.3,59.64715316760271,,,90.236980765164503,90,-3223.9705632489131,303088.02173448069,1450.8047234058784,1994.9462283694807,-298939.96306176588,882.49820360294461,-3234.7560107031059,0.98809685940509817,0.98280196629300509,59.727345629509045,,,90.236980765164503,90.000000000000057,-3227.9596924616549,303001.77987181797,1449.6899163645046,1995.9127615447276,-299447.60257786419,882.53823209005679,-3240.1021726845238,0.98809685940510172,0.98280196629299899
4/22/2015,9:50:57,952.3,59.518845228548969,,,90.236980765164503,90,-3136.2017246893156,303874.00589916343,1450.1870853784178,2000.9714858287086,-300314.81239884498,882.5152396328798,-3249.5701873799558,0.98828288974591816,0.98166388845844443,59.582999198073594,,,90.236980765164503,90.000000000000057,-3247.2628829881573,304839.45504292322,1449.5262757702321,2008.2460213548814,-301143.34812052117,882.53332192242806,-3258.4681406443569,0.98828288974592071,0.98166388845843788
4/22/2015,9:50:58,52.3,59.406575781876938,,,90.346847354472288,90,-3194.013402612874,304703.36381036008,1449.6779863189463,2007.1373222802372,-301085.49394646887,882.59389503718683,-3257.6190425264454,0.98821259199300227,0.97931172810351674,59.46271050521068,,,90.346847354472288,90.000000000000057,-3258.0179570898022,303707.07967387966,1450.032788766563,2000.0874916812124,-299763.88386613561,882.55606083021792,-3243.4582851243176,0.98821259199300593,0.97931172810351019
4/22/2015,9:50:58,152.4,59.278267842823197,,,90.31022515803636,90,-3181.5142867711493,305672.86851040367,1448.1852088074322,2015.5991525105551,-302636.73695546773,882.69459016604071,-3274.0293087286727,0.98834743302651107,0.98010226240537013,59.342421812347766,,,90.31022515803636,90.000000000000057,-3256.744789181937,304893.1001677193,1449.832683973231,2008.1748103412313,-300852.11536232906,882.67868684023904,-3254.7802719373403,0.98834743302651462,0.9801022624053648
4/22/2015,9:50:58,252.4,59.117882919006036,,,90.273602961600432,90,-3288.205704803534,304094.25135482068,1449.2526004251356,2003.7129450622274,-300996.03067026829,882.58963069251035,-3256.666822243878,0.98840211755594365,0.97941094681154262,59.198075380912314,,,90.273602961600432,90.000000000000057,-3252.3059454373988,304636.86944382323,1449.6537244494728,2006.7330315142322,-301086.98353075248,882.49858496008642,-3257.9869527332985,0.98840211755594731,0.97941094681153662
