Logger description: 
Log period: 0.1 s
Statistics period: 0.01 s
Statistics window: 0.1 s
Maximum duration: 
Time,Time,Time,GearOilInTemp,GearOilOutTemp,RoomTemp,TOilLEWAct,TOilLEWDem,Dyno2,Dyno1Power,Dyno1Speed,Dyno1Torque,Dyno2Power,Dyno2Speed,Dyno2Torque,Efficiency,Efficiency10kNm,GearOilInTemp_Avg,GearOilOutTemp_Avg,RoomTemp_Avg,TOilLEWAct_Avg,TOilLEWDem_Avg,Dyno2_Avg,Dyno1Power_Avg,Dyno1Speed_Avg,Dyno1Torque_Avg,Dyno2Power_Avg,Dyno2Speed_Avg,Dyno2Torque_Avg,Efficiency_Avg,Efficiency10kNm_Avg
Date,Time,ms,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
4/22/2015,10:15:12,502.0,79.664268585131538,,,89.980625390113005,90,-14774.556324942621,151834.89293144521,1447.3972197665453,1001.7405069120915,-147196.59585073651,93.41779106968022,-15046.640838555344,0.96672810598702064,0.9668067727566263,79.66426858514302,,,89.962314291895041,90.000000000000057,-15033.366214401249,151776.87601466401,1447.9106094067308,1001.0029427374095,-146746.19203869472,93.343001760518177,-15012.567182953886,0.96672810598703141,0.96680677275662441
4/22/2015,10:15:12,602.3,79.648281374899682,,,89.980625390113005,90,-15259.58056184174,150522.51236164867,1447.5983944620734,992.94398145016544,-145514.8133051336,93.13670335940644,-14919.618793830092,0.96699369659046297,0.9660994543102519,79.648281374910823,,,89.980625390113005,90.000000000000057,-14905.420576250665,151046.11219698362,1447.8239312277281,996.2428496823992,-145803.12210243015,93.159431592413583,-14945.49616263333,0.96699369659047374,0.96609945431024913
4/22/2015,10:15:12,702.1,79.648281374899682,,,90.017247586548933,90,-14791.989284923209,151390.20982802101,1447.8829059048128,998.47163599703981,-146577.13957406773,93.259642882325039,-15008.727625251195,0.96692312077186537,0.96694737339908876,79.648281374910823,,,89.998936488330969,90.000000000000057,-14993.000871790009,151166.99030931588,1447.3588637657113,997.36046247393824,-146618.44168148143,93.314277362043725,-15004.154982339856,0.96692312077187648,0.96694737339908643
4/22/2015,10:15:12,802.1,79.632294164667883,,,89.980625390113005,90,-15067.602901025388,151395.7283700227,1446.3671956931773,999.55441210926517,-146584.28155459702,93.241728259499808,-15012.342708230319,0.96691103822766078,0.96578839297769103,79.632294164679081,,,89.998936488330969,90.000000000000057,-14979.182667381687,151353.63297598524,1447.5308839759061,998.47334336084862,-146084.78504035607,93.192360700141464,-14969.09754004445,0.96691103822767221,0.96578839297768881
4/22/2015,10:15:12,902.3,79.632294164667883,,,90.017247586548933,90,-14706.145073620381,150545.29393712731,1448.2556100305981,992.64359923908466,-145784.92105146026,93.344057442036956,-14914.109017390461,0.9669471380113045,0.96718874222893103,79.632294164679081,,,89.998936488330969,90.000000000000057,-14852.704044106922,151418.24082955156,1447.5503753420658,998.88613808667958,-146547.84481864868,93.319597152644775,-14996.055767130052,0.96694713801131638,0.96718874222892859
4/22/2015,10:15:13,2.5,79.632294164667883,,,89.944003193677077,90,-14860.522945435769,152103.79157291117,1448.8356802048279,1002.5182547309626,-147074.16304937977,93.5402678304944,-15014.440685264683,0.9674713233261476,0.96606545728659565,79.632294164679081,,,89.980625390113005,90.000000000000057,-14979.278082639303,151113.85464799157,1448.5943688660209,996.15891821420178,-145744.69706317908,93.195280353972151,-14933.699583559655,0.96747132332615937,0.9660654572865941
4/22/2015,10:15:13,102.1,79.632294164667883,,,89.944003193677077,90,-15088.450367359576,151319.86609909186,1448.6153823799943,997.50306274285128,-145396.45167326351,92.914567815319671,-14943.123259950007,0.96728151890061731,0.96612060934224886,79.632294164679081,,,89.944003193677077,90.000000000000057,-14954.515733953589,151532.40465784213,1448.3547598611592,999.08406220804079,-146278.58433255617,93.244548177389547,-14980.542531617515,0.96728151890062808,0.96612060934224875
4/22/2015,10:15:13,202.3,79.632294164667883,,,89.980625390113005,90,-14819.823284336926,151513.39367371317,1448.1639418665116,999.09015204671641,-146682.76677967887,93.37467056321232,-15001.040812397212,0.96638246499697567,0.96451320923778516,79.632294164679081,,,89.962314291895041,90.000000000000057,-15000.422839420955,151508.4761998663,1448.1960277598307,999.03562782624954,-146733.1703531511,93.391679366244119,-15003.442098670126,0.96638246499698699,0.96451320923778372
