Logger description: 
Log period: 0.1 s
Statistics period: 0.01 s
Statistics window: 0.1 s
Maximum duration: 
Time,Time,Time,GearOilInTemp,GearOilOutTemp,RoomTemp,TOilLEWAct,TOilLEWDem,Dyno2,Dyno1Power,Dyno1Speed,Dyno1Torque,Dyno2Power,Dyno2Speed,Dyno2Torque,Efficiency,Efficiency10kNm,GearOilInTemp_Avg,GearOilOutTemp_Avg,RoomTemp_Avg,TOilLEWAct_Avg,TOilLEWDem_Avg,Dyno2_Avg,Dyno1Power_Avg,Dyno1Speed_Avg,Dyno1Torque_Avg,Dyno2Power_Avg,Dyno2Speed_Avg,Dyno2Torque_Avg,Efficiency_Avg,Efficiency10kNm_Avg
Date,Time,ms,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
4/22/2015,9:30:47,837.1,77.921662669863792,,,89.980625390113005,90,-18264.915620159292,303840.56572628883,1450.0655003290217,2000.9190454998488,-295743.35576017085,154.91261158508226,-18230.542939351795,0.97164535434000698,0.95758944008208879,77.921662669881641,,,89.973300950825831,90.000000000000057,-18170.593590246841,303620.25294849882,1449.8428485685004,1999.7748846326547,-294318.85905679659,154.41748391319496,-18200.860581801942,0.97164535434000732,0.95758944008208202
4/22/2015,9:30:47,937.1,77.921662669863792,,,89.980625390113005,90,-18039.800182578736,303986.26773592597,1449.110631115889,2003.197662209124,-295830.0767866071,154.58585712677751,-18274.434638828705,0.97200571417727877,0.95940773304477367,77.921662669881641,,,89.980625390113005,90.000000000000057,-18223.229653864953,303842.05983335793,1449.3678017483021,2001.8919536041412,-294864.01224086224,154.45315173939466,-18230.374505132255,0.97200571417727899,0.95940773304476734
4/22/2015,9:30:48,37.1,77.921662669863792,,,90.017247586548933,90,-18011.345874449933,303133.07244380523,1447.9170776647409,1999.2219570423285,-295334.33499342203,154.61600030546958,-18240.254250309197,0.97235820190125577,0.9605391773980364,77.921662669881641,,,90.009923147261759,90.000000000000057,-18188.765502916271,303454.07765335095,1448.9103542016001,1999.9666800749528,-294464.94971867633,154.39253969101199,-18212.842729659118,0.97235820190125699,0.96053917739802996
4/22/2015,9:30:48,137.4,77.921662669863792,,,90.017247586548933,90,-18010.966559427965,303827.84316063847,1448.1279251409708,2003.5123519874435,-296100.3433566984,154.95823755912559,-18247.174479554109,0.97247630786225692,0.96103936238269505,77.921662669881641,,,90.017247586548933,90.000000000000057,-18209.586994521775,303498.89183266379,1448.7609061355545,2000.4693890153685,-294474.95991641626,154.41018617130291,-18211.373170551113,0.97247630786225747,0.96103936238268928
4/22/2015,9:30:48,237.2,77.921662669863792,,,89.980625390113005,90,-18082.863362257151,303783.97425842489,1447.5204746625741,2004.0637206157567,-295744.21114699973,154.90563460683492,-18231.416777442922,0.97272367485529443,0.96103648679416842,77.921662669881641,,,89.987949829400179,90.000000000000057,-18188.240999851259,303326.17156855122,1448.9778724130631,1999.0323141562617,-293790.7555988598,154.33246828378853,-18178.190795203816,0.97272367485529421,0.96103648679416109
4/22/2015,9:30:48,337.4,77.921662669863792,,,89.980625390113005,90,-18200.657944918661,304682.83100451069,1448.5153553901828,2008.6129615051968,-296423.21583863796,154.86892434091257,-18277.606142881421,0.97298291230636691,0.96216393534905975,77.921662669881641,,,89.980625390113005,90.000000000000057,-18208.903449864574,303603.67858938337,1448.4133053351106,2001.6399587426331,-294348.65400938387,154.35282007974433,-18210.297576006389,0.97298291230636791,0.96216393534905242
4/22/2015,9:30:48,437.4,77.921662669863792,,,89.944003193677077,90,-18289.920118945342,303085.9156004088,1447.4609249840603,1999.540885010181,-295500.24529457185,154.75831311216209,-18233.718284101415,0.97324760059477622,0.96396737330093507,77.921662669881641,,,89.951327632964251,90.000000000000057,-18197.668410267685,303143.82583777653,1448.0400924134203,1999.12336093728,-294093.93427894521,154.26541583923716,-18204.838122443536,0.97324760059477688,0.96396737330092874
4/22/2015,9:30:48,537.3,77.921662669863792,,,89.944003193677077,90,-18169.812554943674,303967.39003894222,1447.5037367088901,2005.2969026567355,-295813.31880433572,154.69163308245243,-18260.904348343574,0.97344449163440294,0.96632116257565215,77.921662669881641,,,89.944003193677077,90.000000000000057,-18195.674977814102,303293.30032493471,1448.3404762219993,1999.6947711108537,-294274.14570313256,154.30714704507011,-18211.086462456798,0.97344449163440372,0.96632116257564482
