Logger description: 
Log period: 0.1 s
Statistics period: 0.01 s
Statistics window: 0.1 s
Maximum duration: 
Time,Time,Time,GearOilInTemp,GearOilOutTemp,RoomTemp,TOilLEWAct,TOilLEWDem,Dyno2,Dyno1Power,Dyno1Speed,Dyno1Torque,Dyno2Power,Dyno2Speed,Dyno2Torque,Efficiency,Efficiency10kNm,GearOilInTemp_Avg,GearOilOutTemp_Avg,RoomTemp_Avg,TOilLEWAct_Avg,TOilLEWDem_Avg,Dyno2_Avg,Dyno1Power_Avg,Dyno1Speed_Avg,Dyno1Torque_Avg,Dyno2Power_Avg,Dyno2Speed_Avg,Dyno2Torque_Avg,Efficiency_Avg,Efficiency10kNm_Avg
Date,Time,ms,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
4/22/2015,9:13:13,173.9,79.872102318145096,,,90.09049197942079,90,-8772.8055508803845,304725.60367512534,1451.0925394300011,2005.327081232542,-299224.13640912488,325.09675853217294,-8789.3217915064779,0.98191575814200416,0.98364813352949443,79.872102318165048,,,90.061194222272036,90.000000000000057,-8679.9980961697984,304079.09507985378,1450.8403671939552,2001.4204459272673,-298572.50169548043,325.10931451297239,-8769.8392371959289,0.98191575814199261,0.98364813352949587
4/22/2015,9:13:13,274.2,79.888089528376895,,,90.053869782984862,90,-8732.0203796040369,304846.15999891626,1451.3598940436405,2005.7508869657988,-298989.00152108667,325.1216058749842,-8781.7438144339321,0.98200499421494558,0.98327292829568302,79.88329336532729,,,90.083167540133616,90.000000000000057,-8665.543857202083,304361.34702337941,1450.537703476524,2003.6957686679532,-298904.56588745228,325.12613427164797,-8779.1397216171281,0.98200499421493403,0.98327292829568547
4/22/2015,9:13:13,374.0,79.888089528376895,,,89.980625390113005,90,-8738.6401610407447,303869.53388358344,1451.2160817629697,1999.5232542014348,-297954.05859953701,324.74758277705325,-8761.4252586380135,0.98216803750333614,0.98388393422593601,79.88808952839679,,,90.039220904410513,90.000000000000057,-8676.1636114058128,304219.4888660009,1450.8567413441588,2002.321967394088,-298693.75119248248,325.13258649822365,-8772.774149610108,0.98216803750332604,0.98388393422593834
4/22/2015,9:13:13,474.0,79.888089528376895,,,89.980625390113005,90,-8811.7950108879104,303233.85397847882,1451.6309733858498,1994.7700617429384,-297193.11688768381,324.7479441214939,-8739.0398236732144,0.98194576114741128,0.98507617744409948,79.88808952839679,,,89.980625390113005,90.000000000000057,-8771.0124527474145,303909.31223014923,1450.8487818986903,2000.2918747333217,-298462.8679494189,325.13900911623011,-8765.8157603366599,0.98194576114740217,0.98507617744410181
4/22/2015,9:13:13,574.0,79.888089528376895,,,90.053869782984862,90,-8839.6728739224927,303887.49386305525,1449.8373418874837,2001.5430170593586,-298496.57323505316,324.93494303441747,-8772.3169473931212,0.98190082412161439,0.9871044373375244,79.88808952839679,,,89.995274268687353,90.000000000000057,-8887.0622112085002,304067.24290047743,1450.7617047551985,2001.4515612301341,-298783.08168359095,325.18919706965812,-8773.8736947900652,0.98190082412160573,0.98710443733752695
4/22/2015,9:13:13,674.1,79.888089528376895,,,90.053869782984862,90,-8632.4034397887481,303258.05279065936,1451.1712902486993,1995.5611770317535,-297663.91650384368,324.61076549131519,-8756.5827251556275,0.98198629059544906,0.98808074439865079,79.88808952839679,,,90.053869782984862,90.000000000000057,-8838.0450645290421,304064.64065646764,1450.4600491570475,2001.849981567404,-298825.71953461948,325.1401163353645,-8776.4433431926136,0.98198629059543985,0.98808074439865334
4/22/2015,9:13:13,774.1,79.888089528376895,,,90.127114175856718,90,-8515.7285426894196,303687.6138189499,1448.8078071459174,2001.6478924261014,-299035.10075605963,325.04624823130689,-8785.1340605738333,0.98192715288168675,0.98571554350736956,79.88808952839679,,,90.06851866155921,90.000000000000057,-8824.8389989104362,303716.99753755156,1450.2292093782585,1999.8797168729118,-298668.5198037888,325.13819180976407,-8771.8833830994954,0.98192715288167742,0.98571554350737178
4/22/2015,9:13:13,874.3,79.888089528376895,,,90.127114175856718,90,-8489.5350457047061,302529.99222609709,1450.5719843642821,1991.5927323291385,-297170.67842765432,325.06138479936681,-8729.9540256850669,0.98225371668925276,0.98211995668643015,79.88808952839679,,,90.127114175856718,90.000000000000057,-8658.9421861235642,303089.90708292689,1450.3644135432642,1995.5646768834631,-297828.85638330143,325.02135721568834,-8750.3642840633747,0.98225371668924277,0.98211995668643259
