Logger description: 
Log period: 0.1 s
Statistics period: 0.01 s
Statistics window: 0.1 s
Maximum duration: 
Time,Time,Time,GearOilInTemp,GearOilOutTemp,RoomTemp,TOilLEWAct,TOilLEWDem,Dyno2,Dyno1Power,Dyno1Speed,Dyno1Torque,Dyno2Power,Dyno2Speed,Dyno2Torque,Efficiency,Efficiency10kNm,GearOilInTemp_Avg,GearOilOutTemp_Avg,RoomTemp_Avg,TOilLEWAct_Avg,TOilLEWDem_Avg,Dyno2_Avg,Dyno1Power_Avg,Dyno1Speed_Avg,Dyno1Torque_Avg,Dyno2Power_Avg,Dyno2Speed_Avg,Dyno2Torque_Avg,Efficiency_Avg,Efficiency10kNm_Avg
Date,Time,ms,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
4/22/2015,9:36:13,19.3,66.970423661071322,,,88.735470711291441,90,-5330.9516775613665,303876.39161502116,1448.2468130128907,2003.6679955336608,-300473.18812052312,535.11803856003485,-5362.0087206905573,0.98682529979931977,0.98796607858844954,66.957633892884985,,,88.735470711291441,90.000000000000057,-5373.6101135168101,303353.47613801243,1447.9261279420341,2000.6645799652742,-299461.60020874155,535.09435741457162,-5344.1901876859856,0.98682529979931777,0.98796607858845231
4/22/2015,9:36:13,119.3,67.01838529176672,,,88.698848514855513,90,-5394.8745982264118,303782.07812581648,1447.2564581748145,2004.4168018745993,-300311.21402381273,535.33039305084367,-5356.9924067373204,0.9868289332420952,0.98893586393661548,66.980015987209867,,,88.709835173786303,90.000000000000057,-5326.556027238883,303612.09748990973,1447.9134463638766,2002.3865374945665,-299684.4200576038,535.10239731890431,-5348.0880771790589,0.98682893324209464,0.98893586393661881
4/22/2015,9:36:13,219.6,67.082334132693973,,,88.698848514855513,90,-5301.0532009962953,304335.86787921615,1446.5215968421262,2009.0909602268014,-302010.76331856515,535.30258219822406,-5387.5890885921726,0.98690167073780544,0.98935062362669735,67.031175059951806,,,88.698848514855513,90.000000000000057,-5354.2418441814298,304257.01361305703,1448.0143657733074,2006.5013421219148,-300647.71222959954,535.23081082704527,-5363.9898278064838,0.98690167073780499,0.98935062362669957
4/22/2015,9:36:13,319.4,67.114308553157628,,,88.698848514855513,90,-5410.5942139089875,300266.4423746519,1447.4453074995856,1980.961420826214,-296991.38324179826,535.1264701644069,-5299.7916568144692,0.98741064434962766,0.98908774712878267,67.088729016786147,,,88.698848514855513,90.000000000000057,-5266.0060107085983,300707.44090371195,1447.6719570154567,1983.5628727833514,-297627.10777542822,534.81633116281887,-5314.2091809069534,0.98741064434962722,0.989087747128786
4/22/2015,9:36:13,419.4,67.242206235012134,,,88.698848514855513,90,-5410.3698513292466,301494.14014864172,1447.8438358753203,1988.5134651509102,-297506.49117045454,535.70014611242368,-5303.2983860825243,0.98754513565536828,0.99177372822440923,67.139888089527801,,,88.698848514855513,90.000000000000057,-5317.3906834617001,300644.95258374902,1447.3398821616038,1983.6029557394613,-297198.77452941739,534.94187884884229,-5305.3208994536162,0.98754513565536739,0.99177372822441168
4/22/2015,9:36:13,519.6,67.306155075939387,,,88.588981925547728,90,-5341.9044458483449,304883.67907853983,1449.5252820226901,2008.5366648734223,-300495.54701690184,535.55175363621277,-5358.064989251764,0.987538905682944,0.99261346005548756,67.254996003196766,,,88.621941902340041,90.000000000000057,-5376.295168844872,303810.20937356271,1448.1281371207917,2003.3957018695869,-299677.44827359199,535.2156094682897,-5346.832027503282,0.98753890568294322,0.99261346005549012
4/22/2015,9:36:13,619.7,67.37010391686664,,,88.698848514855513,90,-5372.32617543369,303387.86589078739,1447.7327574810531,2001.15711747657,-299664.07982895075,535.24249084330256,-5346.3266150696272,0.98738526338838362,0.99031685469158026,67.318944844124132,,,88.6658885380632,90.000000000000057,-5327.8477302543688,304198.6847070494,1447.9534762669412,2006.1991602941355,-300247.73956870951,535.11212125329416,-5358.0435362402204,0.98738526338838162,0.99031685469158237
4/22/2015,9:36:13,719.5,67.434052757793893,,,88.588981925547728,90,-5437.5992913885084,303886.22808018239,1447.6277255918626,2004.5897635763279,-300389.0752424422,535.164186640965,-5360.0454629500855,0.98757599709606025,0.99198539824325482,67.382893685051158,,,88.621941902340041,90.000000000000057,-5396.9119392668272,303985.1912398095,1447.8008656430786,2005.0032494481006,-300230.02721415897,535.08607547918666,-5357.9891613189948,0.98757599709605925,0.9919853982432576
